Gemeente,Evolutie 2018 - 2019,Mediaanprijs 2018,Mediaanprijs 2019,Mediaanprijs 2020,Evolutie Juli 2020 - December 2019,publicatiekolom
Aalst,5,220,230,220,-4,-4
Aalter,11,270,300,322.5,8,8
Arlon,11,251.25,278,287.5,3,3
Aarschot,8,237,256.675,247,-4,-4
Aartselaar,2,323,330,350,6,6
Ath,3,175,180,181.25,1,1
Affligem,-1,282,280,310,11,11
Aiseau-Presles,-15,165,140,165,18,18
Alken,-7,275,254.741,null,null,0
Alveringem,9,194,212,242.5,14,14
Amay,9,151,165,175,6,6
Amel,null,165,null,null,null,-50
Andenne,5,170,178,205,15,15
Anderlecht,3,287,295,325,10,10
Anderlues,0,150,150,157.5,5,5
Anhée,4,177.5,185,null,null,0
Ans,0,169.5,170,182.5,7,7
Anthisnes,0,180,180,189.75,5,5
Antoing,19,135,160,null,null,0
Antwerpen,6,250,264,275,4,4
Anzegem,-7,255,237.5,280,18,18
Ardooie,1,240,242.5,235.8,-3,-3
Arendonk,9,255,278,244,-12,-12
As,-1,228,226.5,239,6,6
Asse,4,293.5,305,322.5,6,6
Assenede,5,235,246.5,265,8,8
Assesse,4,226,235,null,null,0
Attert,38,235,325,null,null,0
Aubange,4,180,187.5,220,17,17
Aubel,5,240,252.5,null,null,0
Avelgem,6,200,212.412,200,-6,-6
Awans,-8,220,201.5,null,null,0
Aywaille,10,170,187.5,189,1,1
Baarle-Hertog,13,258.75,292.5,null,null,0
Baelen,null,null,null,null,null,-50
Balen,4,226.851,235,200,-15,-15
Bastogne,9,211,230,245,7,7
Beaumont,9,150,164,161,-2,-2
Beauraing,4,149.5,155,162.5,5,5
Beernem,8,277,298,300,1,1
Beerse,-3,290,280,275,-2,-2
Beersel,12,298,335,338.75,1,1
Begijnendijk,7,266.5,284.5,null,null,0
Bekkevoort,19,253,300,null,null,0
Beloeil,2,147,150,150,0,0
Mons,4,139,145,130,-10,-10
Beringen,0,230,230,239.5,4,4
